IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.19.211.100,4,4,0.00,68.40,4.08,SJC
104.19.207.198,4,4,0.00,68.48,3.93,SJC
104.19.214.252,4,4,0.00,68.39,3.30,SJC
104.20.16.223,4,4,0.00,92.46,3.17,FRA
104.19.208.24,4,4,0.00,68.45,2.93,SJC
104.20.15.58,4,4,0.00,92.47,2.79,FRA
104.20.38.224,4,4,0.00,88.49,2.23,FRA
104.19.210.102,4,4,0.00,68.41,1.41,SJC
104.20.40.39,4,4,0.00,88.52,1.13,FRA
104.19.205.48,4,4,0.00,68.52,1.01,SJC
104.16.164.128,4,4,0.00,93.25,4.05,SJC
104.19.251.19,4,4,0.00,102.85,3.99,LAX
104.16.156.83,4,4,0.00,93.16,3.19,SJC
104.19.244.106,4,4,0.00,102.82,3.16,LAX
104.20.7.232,4,4,0.00,102.84,2.98,FRA
104.16.157.168,4,4,0.00,93.18,2.81,SJC
104.20.10.84,4,4,0.00,102.83,2.79,FRA
104.16.158.13,4,4,0.00,93.22,2.37,SJC
104.16.161.6,4,4,0.00,93.26,1.35,SJC
104.20.4.85,4,4,0.00,102.84,1.29,FRA
